,League,Season,Team,Sequence,seq_len
705,Premier_League,2012,Southampton,"[0, 0, 0, 0, 3, 0, 1, 0, 0, 0, 1, 3, 3, 1, 0, 3, 0, 1, 1, 1, 3, 1, 1, 0, 1, 3, 0, 0, 1, 3, 3, 3, 1, 1, 0, 0, 1, 1]",38
706,Premier_League,2012,Stoke,"[1, 1, 1, 1, 0, 3, 1, 0, 1, 0, 3, 1, 3, 3, 3, 1, 1, 1, 3, 1, 0, 0, 0, 1, 0, 3, 0, 0, 0, 1, 0, 0, 0, 3, 3, 1, 0, 1]",38
707,Premier_League,2012,Sunderland,"[1, 1, 1, 1, 3, 0, 1, 1, 0, 0, 3, 0, 1, 0, 0, 3, 0, 3, 3, 0, 0, 3, 3, 1, 0, 0, 0, 1, 0, 1, 0, 0, 3, 3, 0, 1, 1, 0]",38
708,Premier_League,2012,Swansea,"[3, 3, 1, 0, 0, 0, 1, 3, 0, 1, 1, 3, 1, 3, 3, 0, 0, 1, 1, 3, 1, 1, 3, 1, 0, 3, 0, 3, 0, 0, 0, 1, 1, 0, 1, 3, 0, 0]",38
709,Premier_League,2012,Tottenham,"[0, 1, 1, 3, 3, 3, 3, 0, 3, 0, 0, 0, 3, 3, 3, 0, 3, 1, 3, 3, 3, 1, 1, 1, 3, 3, 3, 3, 0, 0, 3, 1, 3, 1, 3, 1, 3, 3]",38
710,Premier_League,2012,West Brom,"[3, 1, 3, 0, 3, 1, 3, 0, 0, 3, 3, 3, 3, 0, 0, 0, 1, 3, 3, 0, 0, 0, 1, 0, 0, 3, 3, 0, 3, 1, 0, 0, 1, 3, 0, 0, 0, 1]",38
711,Premier_League,2012,West Ham,"[3, 0, 3, 1, 1, 3, 0, 3, 0, 1, 3, 1, 0, 0, 3, 0, 1, 0, 0, 3, 0, 1, 0, 0, 3, 0, 0, 3, 0, 3, 1, 1, 1, 3, 0, 1, 0, 3]",38
712,Premier_League,2012,Wigan,"[0, 3, 1, 0, 0, 0, 1, 0, 3, 3, 0, 0, 3, 0, 0, 1, 0, 0, 0, 3, 0, 1, 0, 1, 1, 0, 3, 0, 3, 3, 1, 0, 0, 1, 3, 0, 0, 1]",38
713,Premier_League,2013,Arsenal,"[0, 3, 3, 3, 3, 3, 1, 3, 3, 3, 0, 3, 3, 3, 1, 0, 1, 3, 3, 3, 3, 3, 1, 3, 0, 1, 3, 0, 3, 0, 1, 1, 0, 3, 3, 3, 3, 3]",38
714,Premier_League,2013,Aston Villa,"[3, 0, 0, 0, 3, 3, 1, 0, 0, 1, 3, 1, 1, 3, 0, 0, 0, 0, 1, 3, 0, 1, 3, 0, 0, 1, 0, 3, 3, 0, 0, 0, 0, 1, 0, 3, 0, 0]",38
715,Premier_League,2013,Cardiff,"[0, 3, 1, 1, 0, 3, 0, 0, 1, 3, 0, 1, 0, 1, 0, 3, 0, 0, 1, 0, 0, 0, 0, 3, 0, 1, 0, 0, 3, 0, 0, 1, 0, 3, 1, 0, 0, 0]",38
716,Premier_League,2013,Chelsea,"[3, 3, 1, 0, 3, 1, 3, 3, 3, 0, 1, 3, 3, 3, 0, 3, 1, 3, 3, 3, 3, 3, 1, 3, 3, 1, 3, 3, 3, 0, 3, 0, 3, 3, 0, 3, 1, 3]",38
717,Premier_League,2013,Crystal Palace,"[0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 1, 3, 0, 3, 3, 0, 0, 3, 0, 1, 0, 3, 3, 0, 3, 0, 1, 0, 1, 0, 3, 3, 3, 3, 3, 0, 1, 1]",38
718,Premier_League,2013,Everton,"[1, 1, 1, 3, 3, 3, 0, 3, 3, 1, 1, 1, 3, 3, 1, 3, 3, 0, 3, 1, 3, 1, 0, 3, 0, 0, 3, 3, 3, 3, 3, 3, 3, 0, 3, 0, 0, 3]",38
719,Premier_League,2013,Fulham,"[3, 0, 0, 1, 0, 0, 3, 3, 0, 0, 0, 0, 0, 0, 3, 0, 0, 3, 0, 3, 0, 0, 0, 0, 1, 0, 1, 0, 0, 3, 0, 0, 3, 3, 0, 1, 0, 1]",38
720,Premier_League,2013,Hull,"[0, 3, 0, 1, 3, 3, 1, 0, 0, 3, 0, 0, 3, 0, 1, 1, 1, 0, 3, 0, 0, 0, 0, 1, 3, 0, 3, 0, 0, 3, 0, 0, 3, 0, 1, 0, 0, 0]",38
721,Premier_League,2013,Liverpool,"[3, 3, 3, 1, 0, 3, 3, 1, 3, 0, 3, 1, 0, 3, 3, 3, 3, 0, 0, 3, 3, 1, 3, 1, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 0, 1, 3]",38
722,Premier_League,2013,Man City,"[3, 0, 3, 1, 3, 0, 3, 3, 0, 3, 0, 3, 3, 3, 1, 3, 3, 3, 3, 3, 3, 3, 3, 0, 1, 3, 3, 3, 3, 1, 3, 0, 1, 3, 3, 3, 3, 3]",38
723,Premier_League,2013,Man United,"[3, 1, 0, 3, 0, 0, 3, 1, 3, 3, 3, 1, 1, 0, 0, 3, 3, 3, 3, 0, 3, 0, 3, 0, 1, 1, 3, 3, 0, 3, 0, 3, 3, 0, 3, 0, 3, 1]",38
724,Premier_League,2013,Newcastle,"[0, 1, 3, 3, 0, 0, 3, 1, 0, 3, 3, 3, 3, 0, 3, 1, 3, 3, 0, 0, 0, 3, 1, 0, 0, 0, 3, 3, 0, 3, 0, 0, 0, 0, 0, 0, 3, 0]",38
725,Premier_League,2013,Norwich,"[1, 0, 3, 0, 0, 3, 0, 0, 1, 0, 3, 0, 3, 0, 3, 1, 1, 0, 0, 1, 0, 3, 1, 0, 1, 0, 3, 0, 1, 0, 3, 0, 0, 0, 0, 0, 1, 0]",38
726,Premier_League,2013,Southampton,"[3, 1, 0, 1, 3, 3, 3, 1, 3, 1, 3, 0, 0, 0, 1, 1, 0, 3, 0, 0, 3, 1, 1, 3, 1, 3, 0, 0, 3, 3, 0, 3, 0, 0, 1, 3, 3, 1]",38
727,Premier_League,2013,Stoke,"[0, 3, 3, 1, 0, 0, 0, 1, 0, 1, 1, 3, 0, 1, 3, 1, 3, 0, 0, 1, 0, 0, 0, 3, 1, 1, 0, 3, 1, 3, 3, 3, 0, 3, 1, 0, 3, 3]",38
728,Premier_League,2013,Sunderland,"[0, 1, 0, 0, 0, 0, 0, 0, 3, 0, 3, 0, 1, 0, 0, 1, 1, 3, 1, 0, 3, 1, 3, 3, 0, 0, 1, 0, 0, 0, 0, 0, 1, 3, 3, 3, 3, 0]",38
729,Premier_League,2013,Swansea,"[0, 0, 3, 1, 3, 0, 0, 3, 1, 0, 1, 3, 0, 3, 1, 1, 0, 0, 1, 0, 0, 0, 3, 0, 3, 1, 0, 1, 0, 0, 1, 3, 0, 0, 3, 3, 0, 3]",38
730,Premier_League,2013,Tottenham,"[3, 3, 0, 3, 3, 1, 0, 3, 3, 1, 0, 0, 1, 3, 3, 0, 3, 1, 3, 3, 3, 3, 0, 1, 3, 3, 0, 3, 0, 0, 3, 0, 3, 1, 3, 3, 0, 3]",38
731,Premier_League,2013,West Brom,"[0, 1, 0, 1, 3, 3, 1, 1, 0, 3, 1, 1, 0, 0, 0, 0, 1, 1, 1, 3, 0, 1, 0, 1, 0, 1, 1, 0, 3, 0, 1, 3, 1, 0, 3, 0, 0, 0]",38
732,Premier_League,2013,West Ham,"[3, 1, 0, 1, 0, 0, 3, 0, 1, 1, 0, 0, 3, 0, 0, 1, 0, 0, 1, 0, 3, 0, 1, 3, 3, 3, 3, 0, 0, 0, 3, 3, 0, 0, 0, 0, 3, 0]",38
733,Premier_League,2014,Arsenal,"[3, 1, 1, 1, 3, 1, 0, 1, 3, 3, 0, 0, 3, 3, 0, 3, 1, 3, 3, 0, 3, 3, 3, 0, 3, 3, 3, 3, 3, 3, 3, 3, 1, 3, 0, 1, 1, 3]",38
734,Premier_League,2014,Aston Villa,"[3, 1, 3, 3, 0, 0, 0, 0, 0, 0, 1, 1, 1, 3, 3, 0, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 3, 3, 0, 0, 1, 3, 0, 3, 3, 0, 0]",38
735,Premier_League,2014,Burnley,"[0, 0, 1, 1, 1, 0, 1, 0, 0, 0, 3, 3, 1, 1, 0, 3, 0, 0, 1, 1, 3, 0, 0, 1, 0, 1, 0, 0, 3, 0, 1, 0, 0, 0, 0, 3, 1, 3]",38
736,Premier_League,2014,Chelsea,"[3, 3, 3, 3, 1, 3, 3, 3, 1, 3, 3, 3, 1, 3, 0, 3, 3, 3, 1, 0, 3, 3, 1, 3, 3, 1, 3, 1, 3, 3, 3, 3, 1, 3, 3, 1, 0, 3]",38
737,Premier_League,2014,Crystal Palace,"[0, 0, 1, 1, 3, 3, 0, 0, 1, 0, 0, 3, 1, 0, 1, 1, 0, 0, 1, 1, 3, 3, 0, 3, 1, 0, 3, 0, 3, 3, 3, 3, 0, 0, 0, 0, 3, 3]",38
738,Premier_League,2014,Everton,"[1, 1, 0, 3, 0, 1, 0, 3, 3, 1, 1, 3, 0, 1, 0, 3, 0, 0, 0, 0, 1, 1, 3, 1, 0, 1, 0, 0, 3, 3, 3, 1, 3, 3, 0, 0, 3, 0]",38
739,Premier_League,2014,Hull,"[3, 1, 0, 1, 1, 0, 3, 1, 1, 0, 0, 0, 0, 1, 1, 0, 0, 3, 0, 3, 0, 0, 0, 1, 3, 3, 0, 1, 1, 0, 0, 0, 3, 3, 0, 0, 0, 1]",38
740,Premier_League,2014,Leicester,"[1, 0, 1, 3, 3, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 3, 1, 3, 0, 0, 0, 0, 1, 0, 1, 0, 3, 3, 3, 3, 0, 3, 3, 1, 3]",38
741,Premier_League,2014,Liverpool,"[3, 0, 3, 0, 0, 1, 3, 3, 1, 0, 0, 0, 3, 3, 1, 0, 1, 3, 3, 1, 3, 3, 3, 1, 3, 3, 3, 3, 3, 0, 0, 3, 1, 0, 3, 1, 0, 0]",38
742,Premier_League,2014,Man City,"[3, 3, 0, 1, 1, 3, 3, 3, 0, 3, 1, 3, 3, 3, 3, 3, 3, 3, 1, 3, 1, 0, 1, 1, 3, 3, 0, 3, 0, 3, 0, 0, 3, 3, 3, 3, 3, 3]",38
743,Premier_League,2014,Man United,"[0, 1, 1, 3, 0, 3, 3, 1, 1, 0, 3, 3, 3, 3, 3, 3, 1, 3, 1, 1, 0, 3, 3, 1, 3, 0, 3, 3, 3, 3, 3, 3, 0, 0, 0, 3, 1, 1]",38
744,Premier_League,2014,Newcastle,"[0, 1, 1, 0, 1, 0, 1, 3, 3, 3, 3, 3, 0, 1, 3, 0, 0, 0, 3, 1, 0, 0, 3, 1, 1, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 3]",38
745,Premier_League,2014,QPR,"[0, 0, 3, 0, 1, 0, 0, 0, 3, 0, 1, 0, 3, 0, 3, 0, 3, 0, 1, 1, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 3, 1, 0, 1, 0, 0, 3, 0]",38
746,Premier_League,2014,Southampton,"[0, 1, 3, 3, 3, 3, 0, 3, 3, 3, 3, 1, 0, 0, 0, 0, 3, 3, 1, 3, 3, 3, 0, 3, 1, 0, 0, 3, 1, 3, 0, 3, 0, 1, 0, 0, 3, 0]",38
747,Premier_League,2014,Stoke,"[0, 1, 3, 0, 1, 3, 0, 3, 0, 1, 3, 0, 0, 0, 3, 1, 0, 3, 3, 1, 0, 3, 3, 1, 0, 3, 3, 3, 0, 0, 0, 1, 3, 1, 0, 3, 1, 3]",38
748,Premier_League,2014,Sunderland,"[1, 1, 0, 1, 1, 1, 3, 0, 0, 3, 1, 1, 1, 0, 1, 1, 3, 0, 1, 0, 0, 0, 3, 1, 0, 1, 0, 1, 0, 0, 3, 0, 1, 3, 3, 1, 1, 0]",38
749,Premier_League,2014,Swansea,"[3, 3, 3, 0, 0, 1, 1, 0, 3, 1, 3, 0, 1, 3, 0, 0, 3, 3, 0, 1, 1, 0, 3, 1, 0, 3, 3, 0, 0, 3, 3, 1, 0, 3, 3, 3, 0, 0]",38
750,Premier_League,2014,Tottenham,"[3, 3, 0, 1, 0, 1, 3, 0, 0, 3, 0, 3, 3, 0, 1, 3, 3, 3, 1, 3, 0, 3, 3, 3, 0, 1, 3, 3, 0, 3, 1, 0, 3, 1, 0, 0, 3, 3]",38
751,Premier_League,2014,West Brom,"[1, 1, 0, 0, 3, 3, 0, 1, 1, 3, 0, 0, 0, 0, 1, 3, 0, 0, 0, 1, 3, 1, 0, 1, 3, 1, 3, 0, 3, 0, 0, 0, 3, 1, 3, 1, 3, 0]",38
752,Premier_League,2014,West Ham,"[0, 3, 0, 1, 3, 0, 3, 3, 3, 1, 1, 0, 3, 3, 3, 1, 3, 0, 0, 1, 1, 3, 0, 1, 1, 1, 0, 0, 0, 3, 0, 1, 0, 1, 3, 0, 0, 0]",38
753,Premier_League,2015,Arsenal,"[0, 3, 1, 3, 3, 0, 3, 3, 3, 3, 3, 1, 0, 1, 3, 3, 3, 0, 3, 3, 1, 1, 0, 1, 3, 3, 0, 0, 1, 3, 3, 1, 1, 3, 1, 3, 1, 3]",38
754,Premier_League,2015,Aston Villa,"[3, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 1, 1, 0, 0, 3, 1, 1, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]",38
755,Premier_League,2015,Bournemouth,"[0, 0, 3, 1, 0, 3, 0, 1, 0, 0, 0, 0, 1, 1, 3, 3, 3, 1, 0, 1, 0, 3, 1, 3, 0, 0, 1, 3, 3, 3, 0, 0, 3, 0, 0, 0, 1, 0]",38
756,Premier_League,2015,Chelsea,"[1, 0, 3, 0, 0, 3, 1, 0, 3, 0, 0, 0, 3, 1, 0, 0, 3, 1, 1, 3, 1, 1, 3, 1, 1, 3, 3, 3, 1, 1, 3, 0, 0, 3, 1, 0, 1, 1]",38
757,Premier_League,2015,Crystal Palace,"[3, 0, 3, 3, 0, 0, 3, 3, 0, 0, 1, 3, 0, 3, 1, 3, 3, 1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 1, 3, 1, 1, 0, 0, 3, 0]",38
758,Premier_League,2015,Everton,"[1, 3, 0, 1, 3, 1, 3, 1, 0, 0, 3, 1, 3, 1, 1, 1, 0, 3, 0, 1, 1, 1, 0, 3, 3, 0, 3, 0, 0, 0, 1, 1, 1, 0, 3, 0, 0, 3]",38
759,Premier_League,2015,Leicester,"[3, 3, 1, 1, 3, 1, 0, 3, 1, 3, 3, 3, 3, 1, 3, 3, 3, 0, 1, 1, 3, 1, 3, 3, 3, 0, 3, 1, 3, 3, 3, 3, 3, 1, 3, 1, 3, 1]",38
760,Premier_League,2015,Liverpool,"[3, 3, 1, 0, 0, 1, 3, 1, 1, 1, 3, 0, 3, 3, 0, 1, 0, 3, 3, 0, 1, 0, 3, 0, 1, 3, 3, 3, 0, 1, 3, 3, 3, 1, 0, 3, 1, 1]",38
761,Premier_League,2015,Man City,"[3, 3, 3, 3, 3, 0, 0, 3, 3, 1, 3, 1, 0, 3, 0, 3, 0, 3, 1, 3, 1, 3, 1, 3, 0, 0, 0, 3, 1, 0, 3, 3, 3, 1, 3, 0, 1, 1]",38
762,Premier_League,2015,Man United,"[3, 3, 1, 0, 3, 3, 3, 0, 3, 1, 1, 3, 3, 1, 1, 0, 0, 0, 1, 3, 1, 3, 0, 3, 1, 0, 3, 3, 0, 3, 3, 0, 3, 3, 1, 3, 0, 3]",38
763,Premier_League,2015,Newcastle,"[1, 0, 1, 0, 0, 0, 1, 0, 3, 0, 1, 3, 0, 0, 3, 3, 1, 0, 0, 0, 1, 3, 0, 0, 3, 0, 0, 0, 0, 1, 0, 0, 3, 1, 1, 3, 1, 3]",38
764,Premier_League,2015,Norwich,"[0, 3, 1, 0, 3, 1, 1, 0, 0, 0, 0, 3, 0, 1, 0, 1, 3, 0, 3, 3, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 3, 3, 0, 0, 0, 0, 3, 0]",38
765,Premier_League,2015,Southampton,"[1, 0, 1, 3, 1, 0, 3, 3, 1, 1, 3, 3, 0, 0, 1, 0, 0, 3, 0, 0, 3, 3, 3, 1, 3, 3, 0, 0, 1, 3, 3, 0, 3, 1, 3, 3, 3, 3]",38
766,Premier_League,2015,Stoke,"[0, 1, 1, 0, 0, 1, 3, 3, 3, 0, 1, 3, 3, 0, 3, 1, 0, 3, 3, 0, 3, 1, 0, 0, 0, 3, 3, 3, 1, 0, 3, 1, 0, 0, 0, 1, 0, 3]",38
767,Premier_League,2015,Sunderland,"[0, 0, 1, 1, 0, 0, 0, 1, 0, 3, 0, 0, 3, 3, 0, 0, 0, 0, 0, 3, 3, 0, 1, 0, 1, 3, 0, 1, 1, 1, 1, 0, 3, 1, 1, 3, 3, 1]",38
768,Premier_League,2015,Swansea,"[1, 3, 1, 3, 0, 1, 0, 1, 0, 3, 0, 0, 1, 0, 0, 0, 1, 3, 1, 0, 0, 3, 3, 1, 1, 0, 0, 3, 3, 0, 3, 1, 3, 0, 0, 3, 3, 1]",38
769,Premier_League,2015,Tottenham,"[0, 1, 1, 1, 3, 3, 3, 1, 1, 3, 3, 1, 3, 1, 1, 0, 3, 3, 3, 1, 0, 3, 3, 3, 3, 3, 3, 0, 1, 3, 3, 1, 3, 3, 1, 1, 0, 0]",38
770,Premier_League,2015,Watford,"[1, 1, 1, 0, 3, 3, 0, 1, 0, 3, 3, 0, 0, 3, 3, 3, 3, 1, 0, 0, 0, 0, 3, 1, 0, 3, 1, 0, 0, 0, 0, 1, 3, 0, 3, 0, 0, 1]",38
771,Premier_League,2015,West Brom,"[0, 1, 0, 3, 1, 3, 0, 0, 3, 3, 0, 0, 3, 1, 1, 1, 0, 0, 3, 3, 1, 0, 1, 1, 0, 3, 3, 1, 3, 0, 1, 0, 0, 0, 1, 0, 1, 1]",38
772,Premier_League,2015,West Ham,"[3, 0, 0, 3, 3, 3, 1, 1, 3, 3, 0, 1, 0, 1, 1, 1, 1, 1, 3, 3, 3, 0, 1, 3, 0, 1, 3, 3, 3, 1, 1, 1, 1, 3, 3, 0, 3, 0]",38
773,Premier_League,2016,Arsenal,"[0, 1, 3, 3, 3, 3, 3, 3, 1, 3, 1, 1, 3, 3, 3, 0, 0, 3, 3, 1, 3, 3, 0, 0, 3, 0, 0, 1, 3, 0, 3, 3, 0, 3, 3, 3, 3, 3]",38
774,Premier_League,2016,Bournemouth,"[0, 0, 1, 3, 0, 3, 1, 3, 1, 0, 0, 3, 0, 3, 0, 3, 0, 0, 3, 1, 0, 1, 0, 0, 0, 0, 1, 3, 3, 1, 1, 0, 0, 3, 3, 1, 3, 1]",38
775,Premier_League,2016,Burnley,"[0, 3, 0, 1, 0, 3, 0, 0, 3, 1, 3, 0, 0, 0, 3, 0, 0, 3, 3, 0, 3, 0, 3, 0, 1, 1, 0, 0, 1, 0, 3, 1, 0, 0, 3, 1, 0, 0]",38
776,Premier_League,2016,Chelsea,"[3, 3, 3, 1, 0, 0, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 0, 3, 3, 1, 3, 1, 3, 3, 3, 0, 3, 3, 0, 3, 3, 3, 3, 3, 3]",38
777,Premier_League,2016,Crystal Palace,"[0, 0, 1, 3, 3, 3, 1, 0, 0, 0, 0, 0, 0, 3, 1, 0, 0, 1, 0, 0, 0, 0, 3, 0, 0, 3, 3, 3, 3, 0, 3, 1, 3, 0, 0, 0, 3, 0]",38
778,Premier_League,2016,Everton,"[1, 3, 3, 3, 3, 0, 1, 1, 0, 3, 0, 1, 0, 1, 0, 3, 0, 3, 1, 3, 3, 3, 1, 3, 1, 3, 0, 3, 3, 0, 1, 3, 3, 1, 0, 0, 3, 0]",38
779,Premier_League,2016,Hull,"[3, 3, 0, 1, 0, 0, 0, 0, 0, 0, 3, 0, 1, 0, 1, 0, 0, 0, 1, 0, 3, 0, 1, 3, 0, 1, 0, 3, 0, 3, 3, 0, 0, 3, 1, 0, 0, 0]",38
780,Premier_League,2016,Leicester,"[0, 1, 3, 0, 3, 0, 1, 0, 3, 1, 0, 0, 1, 0, 3, 0, 1, 0, 3, 1, 0, 0, 0, 0, 0, 3, 3, 3, 3, 3, 0, 1, 0, 3, 3, 0, 0, 1]",38
781,Premier_League,2016,Liverpool,"[3, 0, 1, 3, 3, 3, 3, 1, 3, 3, 3, 1, 3, 0, 1, 3, 3, 3, 3, 1, 1, 0, 1, 0, 3, 0, 3, 3, 1, 3, 1, 3, 3, 0, 3, 1, 3, 3]",38
782,Premier_League,2016,Man City,"[3, 3, 3, 3, 3, 3, 0, 1, 1, 3, 1, 3, 3, 0, 0, 3, 3, 3, 0, 3, 0, 1, 3, 3, 3, 3, 1, 1, 1, 0, 3, 3, 1, 1, 3, 3, 3, 3]",38
783,Premier_League,2016,Man United,"[3, 3, 3, 0, 0, 3, 1, 1, 0, 1, 3, 1, 1, 1, 3, 3, 3, 3, 3, 3, 1, 1, 1, 3, 3, 1, 3, 1, 1, 3, 3, 3, 1, 1, 0, 0, 1, 3]",38
784,Premier_League,2016,Middlesbrough,"[1, 3, 1, 0, 0, 0, 1, 0, 1, 3, 1, 0, 1, 3, 0, 0, 3, 0, 0, 1, 1, 0, 1, 0, 1, 0, 0, 0, 1, 0, 1, 0, 0, 3, 1, 0, 0, 0]",38
785,Premier_League,2016,Southampton,"[1, 0, 1, 0, 3, 3, 1, 3, 1, 0, 0, 1, 3, 0, 3, 1, 3, 0, 0, 0, 0, 3, 0, 0, 3, 3, 0, 1, 3, 3, 0, 0, 1, 1, 0, 3, 1, 0]",38
786,Premier_League,2016,Stoke,"[1, 0, 0, 0, 0, 1, 1, 3, 3, 3, 1, 0, 3, 3, 0, 1, 1, 0, 0, 3, 3, 1, 1, 0, 3, 0, 3, 1, 0, 0, 0, 0, 3, 0, 1, 1, 0, 3]",38
787,Premier_League,2016,Sunderland,"[0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 3, 3, 0, 3, 0, 0, 3, 0, 0, 1, 0, 0, 1, 3, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 3, 0, 0, 0]",38
788,Premier_League,2016,Swansea,"[3, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1, 3, 0, 3, 0, 0, 0, 0, 3, 0, 3, 3, 0, 3, 0, 3, 0, 0, 1, 0, 0, 0, 3, 1, 3, 3, 3]",38
789,Premier_League,2016,Tottenham,"[1, 3, 1, 3, 3, 3, 3, 1, 1, 1, 1, 3, 0, 3, 0, 3, 3, 3, 3, 3, 3, 1, 1, 3, 0, 3, 3, 3, 3, 3, 3, 3, 3, 3, 0, 3, 3, 3]",38
790,Premier_League,2016,Watford,"[1, 0, 0, 3, 3, 0, 1, 3, 1, 3, 0, 3, 0, 0, 3, 0, 0, 1, 0, 0, 1, 1, 3, 3, 0, 1, 0, 0, 3, 3, 0, 3, 0, 0, 0, 0, 0, 0]",38
791,Premier_League,2016,West Brom,"[3, 0, 1, 0, 3, 1, 1, 1, 0, 0, 3, 3, 1, 3, 0, 3, 0, 0, 3, 3, 0, 3, 1, 3, 1, 3, 0, 0, 3, 1, 0, 0, 0, 0, 1, 0, 0, 0]",38
792,Premier_League,2016,West Ham,"[0, 3, 0, 0, 0, 0, 1, 3, 3, 0, 1, 0, 1, 0, 1, 3, 3, 3, 0, 0, 3, 3, 0, 3, 1, 1, 0, 0, 0, 0, 0, 3, 1, 1, 1, 3, 0, 3]",38
793,Premier_League,2017,Arsenal,"[3, 0, 0, 3, 1, 3, 3, 0, 3, 3, 0, 3, 3, 3, 0, 1, 1, 3, 1, 3, 1, 1, 0, 3, 0, 3, 0, 0, 0, 3, 3, 3, 0, 3, 0, 3, 0, 3]",38
794,Premier_League,2017,Bournemouth,"[0, 0, 0, 0, 3, 0, 1, 0, 3, 0, 3, 3, 1, 0, 1, 1, 0, 0, 0, 1, 3, 1, 3, 1, 3, 3, 0, 1, 1, 0, 3, 1, 1, 0, 0, 0, 3, 3]",38
795,Premier_League,2017,Brighton,"[0, 0, 1, 3, 0, 3, 0, 1, 3, 1, 3, 1, 0, 1, 0, 0, 0, 1, 3, 0, 1, 1, 0, 0, 1, 3, 1, 3, 3, 0, 0, 1, 0, 1, 1, 3, 0, 0]",38
796,Premier_League,2017,Burnley,"[3, 0, 1, 3, 1, 1, 3, 1, 0, 3, 3, 3, 0, 3, 0, 3, 3, 1, 0, 1, 1, 0, 0, 0, 1, 1, 0, 1, 3, 3, 3, 3, 3, 0, 1, 1, 0, 0]",38
797,Premier_League,2017,Chelsea,"[0, 3, 3, 3, 1, 3, 0, 0, 3, 3, 3, 3, 1, 3, 3, 0, 3, 3, 1, 3, 3, 1, 1, 3, 0, 0, 3, 0, 0, 3, 0, 1, 3, 3, 3, 3, 1, 0]",38
798,Premier_League,2017,Crystal Palace,"[0, 0, 0, 0, 0, 0, 0, 3, 0, 1, 0, 1, 3, 1, 1, 1, 3, 3, 1, 0, 1, 3, 3, 0, 1, 1, 0, 0, 0, 0, 3, 0, 1, 3, 1, 3, 3, 3]",38
799,Premier_League,2017,Everton,"[3, 1, 0, 0, 0, 3, 0, 1, 0, 0, 3, 1, 0, 3, 3, 1, 3, 3, 1, 1, 0, 0, 0, 1, 3, 0, 3, 0, 0, 3, 3, 0, 1, 1, 3, 3, 1, 0]",38
800,Premier_League,2017,Huddersfield,"[3, 3, 1, 0, 1, 1, 0, 0, 3, 0, 3, 0, 0, 0, 0, 3, 0, 3, 1, 1, 1, 0, 0, 0, 0, 0, 3, 3, 0, 1, 0, 0, 1, 3, 0, 1, 1, 0]",38
801,Premier_League,2017,Leicester,"[0, 3, 0, 0, 1, 0, 1, 1, 3, 3, 1, 0, 1, 3, 3, 3, 3, 0, 1, 0, 0, 3, 1, 3, 0, 1, 0, 1, 1, 3, 3, 0, 0, 1, 0, 0, 3, 0]",38
802,Premier_League,2017,Liverpool,"[1, 3, 3, 0, 1, 3, 1, 1, 0, 3, 3, 3, 1, 3, 3, 1, 1, 3, 1, 3, 3, 3, 3, 0, 3, 1, 3, 3, 3, 0, 3, 3, 1, 3, 1, 1, 0, 3]",38
803,Premier_League,2017,Man City,"[3, 1, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 1, 3, 0, 3, 3, 1, 3, 3, 3, 3, 3, 0, 3, 3, 3, 1, 3, 3]",38
804,Premier_League,2017,Man United,"[3, 3, 3, 1, 3, 3, 3, 1, 0, 3, 0, 3, 3, 3, 3, 0, 3, 3, 1, 1, 1, 3, 3, 3, 0, 3, 0, 3, 3, 3, 3, 3, 0, 3, 3, 0, 1, 3]",38
805,Premier_League,2017,Newcastle,"[0, 0, 3, 3, 3, 0, 1, 1, 3, 0, 0, 0, 0, 1, 0, 0, 0, 0, 3, 0, 1, 3, 1, 0, 1, 1, 3, 1, 0, 3, 3, 3, 3, 0, 0, 0, 0, 3]",38
806,Premier_League,2017,Southampton,"[1, 3, 1, 0, 3, 0, 0, 1, 3, 1, 0, 0, 3, 0, 1, 1, 0, 0, 1, 0, 1, 0, 1, 1, 1, 3, 0, 1, 1, 0, 0, 0, 0, 1, 3, 1, 3, 0]",38
807,Premier_League,2017,Stoke,"[0, 3, 1, 1, 0, 0, 3, 0, 0, 3, 1, 1, 0, 0, 3, 0, 0, 0, 3, 1, 0, 0, 0, 3, 1, 0, 1, 1, 1, 0, 0, 0, 0, 1, 1, 1, 0, 3]",38
808,Premier_League,2017,Swansea,"[1, 0, 3, 0, 1, 0, 0, 3, 0, 0, 0, 0, 1, 0, 0, 3, 0, 0, 1, 0, 3, 0, 1, 3, 3, 1, 3, 0, 3, 1, 0, 1, 1, 0, 0, 0, 0, 0]",38
