League,Season,Team,Sequence,n,n1,n2,k,k1,k2,c1,c2,c3,n1*,c1*,n2*,c2*
La_Liga,2019,Valencia,"[0, 1, 0, 1, 1, 0, 1, 1, 0, 1, 1, 1, 0, 1, 1, 0, 0, 1, 0, 1, 0, 0]",22,11,11,12,7,5,2.641091910859272,5.104581978565195,2.881844380403458,7.0,21.133071772115215,7.0,21.133071772115215
La_Liga,2019,Valladolid,"[1, 0, 0, 1, 1, 0, 1, 0, 0, 0, 0, 1, 0, 1, 0, 0, 1, 0]",18,9,9,7,4,3,1.958521045945484,3.180938916864078,1.941747572815534,1.0,4.857540524924409,1.0,4.857540524924409
La_Liga,2019,Villarreal,"[0, 1, 1, 0, 1, 0, 1, 1, 0, 0, 0, 0, 1, 1, 1, 0, 1, 1, 1, 0, 0, 0, 1, 1, 1, 1]",26,13,13,15,6,9,1.14894499498751,1.1323123378609816,1.053740779768177,7.0,2.0564670297091396,7.0,2.0564670297091396
La_Liga,2020,Alaves,"[0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 1, 1, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 1, 0]",32,16,16,10,5,5,1.6180736294544436,2.0,1.5037593984962403,1.0,4.053903505464522,1.0,4.053903505464522
La_Liga,2020,Ath Bilbao,"[1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 1, 0, 1, 1, 0, 1, 1, 0, 0, 0]",31,16,15,13,6,7,1.3537084097988803,1.4339381695395683,1.2300123001230012,3.0,16.470716548063688,3.0,16.470716548063688
La_Liga,2020,Ath Madrid,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 0, 1, 1, 0, 1, 1, 1, 1]",33,17,16,29,16,13,3.2739489461729665,7.761786587217268,3.257328990228013,12.0,23.0918602526811,12.0,23.0918602526811
La_Liga,2020,Barcelona,"[1, 1, 1, 0, 1, 1, 1, 0, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 0, 1, 0, 1]",36,18,18,28,13,15,1.2533687948562942,1.2679719765820086,1.122334455667789,7.0,13.943876929629498,7.0,13.943876929629498
La_Liga,2020,Betis,"[0, 1, 0, 0, 0, 1, 1, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 1, 0, 1, 1, 1, 0, 1, 1, 1, 1, 0, 1, 1, 1, 1]",33,17,16,18,6,12,1.0265812831669343,1.0111521753805195,1.0060362173038229,1.0,1.2150030908286469,1.0,1.2150030908286469
La_Liga,2020,Cadiz,"[0, 1, 0, 1, 1, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 1, 1, 0, 1, 1, 0, 0]",27,14,13,11,6,5,1.8100308448907696,2.4499781008658434,1.706484641638225,2.0,8.968856748962668,2.0,8.968856748962668
La_Liga,2020,Celta,"[0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 0, 0, 0, 1, 0, 1, 0, 1, 0, 0, 1, 1, 1, 1, 1, 0]",29,15,14,14,6,8,1.2136503743554463,1.2164843668925804,1.1123470522803114,1.0,6.144149515792365,1.0,6.144149515792365
