League,Season,Team,Sequence,n,n1,n2,k,k1,k2,c1,c2,c3
La_Liga,2013,Osasuna,"[0, 0, 0, 0, 1, 0, 0, 1, 0, 1, 0, 0, 1, 0, 1, 1, 0, 0, 1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 1]",29,15,14,10,5,5,1.5243442158298037,1.8063123857418013,1.4492753623188406
La_Liga,2013,Real Madrid,"[1, 1, 1, 1, 1, 0, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 1, 1, 1, 1, 0, 1]",32,16,16,27,14,13,2.1413692131566213,3.193080665548612,2.028397565922921
La_Liga,2013,Sevilla,"[0, 0, 0, 1, 1, 1, 0, 0, 1, 1, 1, 1, 1, 0, 0, 0, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 0, 0, 1]",29,15,14,18,8,10,1.1897484842078312,1.1873622442485658,1.0940919037199124
La_Liga,2013,Sociedad,"[1, 0, 0, 0, 1, 1, 1, 0, 1, 1, 1, 1, 1, 0, 1, 0, 1, 1, 0, 0, 1, 0, 1, 0, 1, 1, 0]",27,14,13,16,9,7,2.2345208905407152,3.4411223211727284,2.557544757033248
La_Liga,2013,Valencia,"[1, 0, 0, 0, 1, 1, 1, 0, 0, 0, 1, 0, 1, 0, 0, 1, 0, 1, 1, 1, 0, 0, 1, 0, 1, 0, 0, 1]",28,14,14,13,6,7,1.4189866924057202,1.5440892488469016,1.2836970474967908
La_Liga,2013,Valladolid,"[0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 0]",23,12,11,7,3,4,1.2820079862218985,1.3832121067883727,1.1402508551881414
La_Liga,2013,Vallecano,"[1, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 1, 1, 1, 1, 0, 1, 1, 1, 0, 0, 0]",34,17,17,13,4,9,1.0741850215126545,1.0403897015854855,1.0204081632653061
La_Liga,2013,Villarreal,"[1, 1, 1, 1, 0, 1, 0, 1, 0, 1, 1, 0, 0, 1, 1, 1, 0, 1, 0, 0, 1, 0, 0, 1, 0, 1, 0, 0, 1, 1]",30,15,15,17,10,7,3.3451044390048845,7.434295556228816,4.0
La_Liga,2014,Almeria,"[0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0]",30,15,15,8,4,4,1.5862804490834466,2.0,1.5313935681470139
La_Liga,2014,Ath Bilbao,"[0, 1, 0, 0, 0, 0, 1, 1, 1, 1, 0, 0, 0, 0, 0, 1, 0, 1, 1, 1, 1, 1, 0, 0, 1, 1, 1, 1]",28,14,14,15,5,10,1.0538080750492778,1.0299388881489515,1.0121457489878543
La_Liga,2014,Ath Madrid,"[1, 1, 1, 1, 0, 1, 1, 1, 0, 1, 1, 1, 0, 1, 1, 0, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 0]",29,15,14,23,12,11,1.731660653462399,2.1635809693258823,1.5408320493066257
La_Liga,2014,Barcelona,"[1, 1, 1, 1, 1, 1, 1, 0, 0, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",34,17,17,30,14,16,1.1352054535432305,1.1675869330991548,1.0471204188481675
La_Liga,2014,Celta,"[1, 1, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 1, 0, 1, 1, 0, 1, 1]",26,13,13,13,5,8,1.1539653472320046,1.1359225248742462,1.0438413361169103
La_Liga,2014,Cordoba,"[0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",27,14,13,3,3,0,4.623627006965765,26.082844168683884,7.972574344255761
La_Liga,2014,Eibar,"[1, 0, 0, 1, 0, 1, 0, 0, 1, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1]",30,15,15,9,7,2,7.884711973044741,43.135217328242156,18.433179723502302
La_Liga,2014,Elche,"[0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 1, 0, 0, 0, 1, 1, 0, 1, 1, 0, 0]",30,15,15,11,4,7,1.1660227687898326,1.1465946153878563,1.0695187165775402
La_Liga,2014,Espanol,"[0, 0, 1, 1, 0, 0, 0, 1, 0, 1, 1, 0, 0, 1, 1, 0, 0, 1, 0, 1, 0, 1, 1, 0, 1, 1, 0, 0]",28,14,14,13,6,7,1.4189866924057202,1.5440892488469016,1.3175230566534915
La_Liga,2014,Getafe,"[0, 1, 0, 0, 0, 1, 1, 0, 1, 0, 0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 1, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0]",31,16,15,10,5,5,1.5322923892827864,1.8203532234702633,1.4792899408284024
La_Liga,2014,Granada,"[1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 1]",24,12,12,7,3,4,1.3416496587301465,1.4851863748254122,1.2594458438287153
La_Liga,2014,La Coruna,"[0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1]",24,12,12,7,3,4,1.3416496587301465,1.4851863748254122,1.2315270935960592
La_Liga,2014,Levante,"[0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 0, 1, 0, 0, 1, 1, 0, 0]",28,14,14,9,3,6,1.1461734494925633,1.126611601022543,1.0548523206751055
La_Liga,2014,Malaga,"[1, 0, 0, 1, 1, 1, 1, 1, 0, 0, 1, 1, 1, 0, 0, 1, 0, 0, 1, 1, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0]",30,15,15,14,9,5,4.542665438796399,13.963076700807273,7.366482504604051
La_Liga,2014,Real Madrid,"[1, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 0, 1, 1, 0, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1]",36,18,18,30,15,15,1.6740725237070104,2.0,1.4727540500736378
