,League,Season,Team,Sequence,n,n1,n2,k,k1,k2,Team_Name,c2,c3
70,Bundesliga,2003,Werder Bremen,"[3, 3, 3, 3, 0, 3, 1, 3, 3, 3, 3, 3, 3, 3, 3, 1, 1, 3, 1, 1]",20,10,10,47,25,22,2003 Werder Bremen,5.760969288587417,3.194888178913738
71,Bundesliga,2003,Wolfsburg,"[3, 0, 3, 0, 0, 3, 0, 3, 3, 1, 0, 0, 3, 0, 0, 0, 0, 0, 3, 3, 1]",21,11,10,26,16,10,2003 Wolfsburg,8.990035669380951,3.1746031746031744
72,Bundesliga,2004,Bayern Munich,"[3, 1, 0, 3, 1, 3, 3, 0, 3, 3, 0, 3, 3, 3, 3, 1, 1, 3, 1, 3, 0, 3, 3, 3, 0, 3, 3, 3, 3, 3, 3, 3, 3, 3]",34,17,17,77,34,43,2004 Bayern Munich,1.0195203826286456,1.1037527593818985
73,Bundesliga,2004,Bielefeld,"[1, 0, 0, 1, 3, 3, 0, 3, 3, 0, 0, 3, 3, 3, 0, 1, 0, 0, 0, 1, 3, 1, 3, 0, 0, 0, 3, 0, 1, 3, 0, 0, 1, 0]",34,17,17,40,24,16,2004 Bielefeld,19.099880429453062,5.46448087431694
74,Bundesliga,2004,Bochum,"[1, 1, 3, 1, 1, 0, 0, 0, 0, 3, 0, 1, 0, 0, 3, 0, 0, 1, 0, 1, 0, 3, 0, 0, 0, 3, 1, 3, 3, 0, 0, 0, 3, 3]",34,17,17,35,14,21,2004 Bochum,1.0777686834680695,1.1547344110854503
75,Bundesliga,2004,Dortmund,"[0, 3, 1, 1, 1, 1, 1, 0, 0, 3, 3, 0, 0, 3, 0, 0, 1, 3, 1, 3, 3, 0, 3, 1, 0, 3, 3, 3, 1, 3, 1, 3, 3, 3]",34,17,17,55,18,37,2004 Dortmund,1.000080271604719,1.0050251256281406
76,Bundesliga,2004,Freiburg,"[1, 3, 1, 1, 1, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 1, 1, 3, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0]",34,17,17,18,11,7,2004 Freiburg,6.6925526687404435,3.3333333333333335
77,Bundesliga,2004,Hamburg,"[0, 0, 3, 0, 0, 3, 0, 0, 3, 3, 1, 0, 3, 3, 3, 0, 3, 0, 3, 3, 3, 3, 0, 3, 3, 0, 1, 0, 3, 3, 0, 1, 0, 0]",34,17,17,51,25,26,2004 Hamburg,1.7286413044601803,1.6501650165016502
78,Bundesliga,2004,Hannover,"[0, 1, 1, 0, 3, 0, 3, 3, 3, 3, 3, 0, 3, 1, 1, 3, 0, 0, 3, 0, 1, 0, 0, 0, 0, 3, 3, 0, 0, 0, 3, 0, 3, 1]",34,17,17,45,28,17,2004 Hannover,70.75334790081067,10.309278350515465
79,Bundesliga,2004,Hansa Rostock,"[1, 0, 3, 0, 0, 1, 0, 3, 0, 0, 0, 0, 0, 1, 0, 1, 1, 1, 0, 1, 0, 0, 1, 3, 3, 0, 3, 0, 3, 0, 3, 0, 1, 0]",34,17,17,30,11,19,2004 Hansa Rostock,1.0428240129633939,1.1198208286674132
