,League,Season,Team,Sequence
83,Bundesliga,2004,MGladbach,"[1, 0, 1, 3, 0, 1, 0, 3, 0, 0, 3, 1, 3, 0, 0, 0, 1, 3, 1, 3, 0, 0, 1, 3, 0, 0, 1, 0, 1, 1, 3, 1, 1, 0]"
84,Bundesliga,2004,Mainz,"[0, 3, 1, 3, 1, 1, 3, 3, 0, 3, 0, 1, 0, 3, 0, 0, 0, 0, 0, 0, 0, 1, 0, 3, 1, 3, 0, 0, 1, 3, 3, 0, 3, 3]"
85,Bundesliga,2004,Nurnberg,"[3, 1, 0, 1, 1, 0, 1, 3, 0, 0, 3, 3, 0, 1, 0, 1, 3, 0, 3, 0, 0, 0, 0, 1, 3, 0, 0, 3, 3, 1, 0, 3, 0, 0]"
86,Bundesliga,2004,Schalke 04,"[0, 3, 0, 0, 3, 0, 3, 3, 3, 3, 3, 3, 0, 3, 3, 3, 1, 3, 0, 1, 3, 3, 3, 3, 3, 0, 3, 0, 0, 0, 1, 3, 0, 3]"
87,Bundesliga,2004,Stuttgart,"[3, 1, 3, 3, 1, 3, 3, 3, 0, 0, 0, 3, 0, 3, 1, 3, 1, 3, 0, 1, 0, 3, 1, 3, 3, 3, 3, 3, 0, 1, 0, 3, 0, 0]"
88,Bundesliga,2004,Werder Bremen,"[3, 3, 0, 0, 3, 3, 0, 0, 3, 3, 1, 1, 1, 0, 3, 3, 1, 0, 3, 3, 3, 3, 3, 0, 1, 3, 0, 3, 0, 0, 3, 0, 3, 3]"
89,Bundesliga,2004,Wolfsburg,"[3, 0, 3, 3, 3, 3, 3, 0, 3, 0, 3, 0, 3, 0, 0, 0, 3, 0, 0, 0, 0, 3, 1, 0, 3, 0, 0, 3, 0, 1, 3, 0, 1, 3]"
90,Bundesliga,2005,Bayern Munich,"[3, 3, 3, 3, 3, 3, 0, 3, 1, 3, 3, 3, 3, 3, 1, 3, 3, 3, 3, 1, 3, 1, 3, 0, 1, 3, 3, 1, 0, 3, 1, 3, 1, 1]"
91,Bundesliga,2005,Bielefeld,"[0, 0, 3, 1, 1, 0, 0, 1, 3, 3, 3, 0, 0, 1, 0, 1, 3, 0, 0, 1, 3, 0, 3, 0, 3, 0, 1, 3, 3, 0, 0, 0, 0, 0]"
92,Bundesliga,2005,Dortmund,"[1, 0, 1, 3, 0, 3, 1, 1, 1, 1, 3, 0, 3, 3, 0, 0, 0, 3, 1, 3, 1, 0, 0, 1, 1, 3, 3, 0, 0, 1, 3, 3, 1, 1]"
93,Bundesliga,2005,Duisburg,"[1, 0, 1, 0, 0, 0, 3, 1, 0, 0, 3, 0, 0, 0, 1, 1, 1, 3, 1, 0, 1, 0, 3, 0, 1, 0, 0, 1, 1, 0, 0, 0, 3, 1]"
