,League,Season,Team,Sequence,c1,c2,c3
102,D1,2005,Mainz,"[0, 0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0, 1, 1, 0, 1, 1]",1.000032936368384,1.7424339504346935,1.1862396204033214
103,D1,2005,Nurnberg,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 1, 1, 0, 0, 1, 0, 1, 1, 1, 1, 0, 1, 0, 1, 1]",1.000043124234921,7.994539031723146,1.0309278350515463
104,D1,2005,Schalke 04,"[1, 1, 1, 1, 0, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 0, 0, 1, 0, 1]",1.0705703185236752,1.8078862951949282,2.242152466367713
105,D1,2005,Stuttgart,"[0, 1, 0, 1, 1, 1, 1, 0, 0, 1, 1, 0, 0, 1, 0, 0, 1, 0]",1.0019569471624266,1.513510371776108,1.9342359767891684
106,D1,2005,Werder Bremen,"[1, 1, 1, 1, 0, 1, 1, 1, 1, 0, 1, 0, 1, 1, 1, 1, 0, 1, 1, 0, 0, 1, 1, 1, 1, 1, 1]",1.0396277828471792,1.0846369567438907,1.5552099533437014
107,D1,2005,Wolfsburg,"[1, 0, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0]",1.0000169353746098,1.296914653057904,1.8115942028985508
108,D1,2006,Aachen,"[0, 0, 1, 1, 0, 1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0]",1.0000006272258672,1.258056324210277,1.8083182640144666
109,D1,2006,Bayern Munich,"[1, 1, 0, 1, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1, 0, 0, 1, 0, 1, 1, 0, 1, 1, 1, 0, 0, 1, 1]",1.002062992532928,2.226917177975171,2.7777777777777777
110,D1,2006,Bielefeld,"[0, 0, 1, 0, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 1, 1, 1, 1, 0]",1.0000526568633756,1.7213174941320748,1.1976047904191616
111,D1,2006,Bochum,"[0, 0, 0, 1, 0, 0, 0, 1, 0, 1, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 1, 1, 0, 1, 1, 1, 0, 1]",1.0000216273787577,3.6726779667447933,1.053740779768177
112,D1,2006,Cottbus,"[0, 1, 1, 0, 0, 1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 0, 1, 1, 1, 0, 1, 0, 0, 0]",1.0000139141738802,1.417584562397788,1.287001287001287
113,D1,2006,Dortmund,"[0, 1, 1, 0, 1, 1, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 1, 1, 1, 1, 0]",1.000043124234921,1.0,1.5220700152207
114,D1,2006,Ein Frankfurt,"[1, 0, 1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 1, 0, 0, 1, 1, 0]",1.0002090850312417,1.8085446032002612,1.148105625717566
115,D1,2006,Hamburg,"[0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 0, 1, 1, 0, 1, 1]",1.0031086050442843,26.523148367175008,1.0060362173038229
116,D1,2006,Hannover,"[0, 0, 0, 1, 0, 0, 1, 0, 1, 1, 1, 0, 0, 1, 1, 1, 1, 0, 0, 0, 0, 1, 1, 1, 0, 0]",1.000043124234921,2.213958889667522,1.1494252873563218
117,D1,2006,Hertha,"[1, 1, 0, 1, 0, 1, 1, 1, 0, 0, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 1]",1.000043124234921,7.994539031723146,8.474576271186441
118,D1,2006,Leverkusen,"[1, 0, 0, 1, 0, 0, 1, 1, 0, 0, 1, 1, 1, 1, 0, 0, 0, 1, 1, 1, 1, 0, 0, 1, 0, 0, 1, 1]",1.0001603743215302,1.3941915362156505,2.0
119,D1,2006,MGladbach,"[1, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]",1.0000000052639626,2.684282920992692,3.134796238244514
120,D1,2006,Mainz,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0]",1.0000018816799632,1.0,1.5082956259426847
